Clave_de_AGEE,formato,anio_mes,Menores_que_viajan
1,sam,2018-01,2063
2,notarial,2018-01,113
3,autoridad judicial,2018-01,3
1,sam,2018-02,1912
2,notarial,2018-02,269
3,autoridad judicial,2018-02,8
1,sam,2018-03,3361
2,notarial,2018-03,295
3,autoridad judicial,2018-03,2
1,sam,2018-04,3204
2,notarial,2018-04,334
3,autoridad judicial,2018-04,0
1,sam,2018-05,4408
2,notarial,2018-05,203
3,autoridad judicial,2018-05,7
1,sam,2018-06,7189
2,notarial,2018-06,453
3,autoridad judicial,2018-06,3
1,sam,2018-07,5486
2,notarial,2018-07,243
3,autoridad judicial,2018-07,1
1,sam,2018-08,2321
2,notarial,2018-08,105
3,autoridad judicial,2018-08,2
1,sam,2018-09,1045
2,notarial,2018-09,51
3,autoridad judicial,2018-09,4
1,sam,2018-10,1414
2,notarial,2018-10,96
3,autoridad judicial,2018-10,0
1,sam,2018-11,1774
2,notarial,2018-11,319
3,autoridad judicial,2018-11,4
1,sam,2018-12,2592
2,notarial,2018-12,91
3,autoridad judicial,2018-12,3
1,sam,2019-1,
2,notarial,2019-1,
3,autoridad judicial,2019-1,
1,sam,2019-2,
2,notarial,2019-2,
3,autoridad judicial,2019-2,
1,sam,2019-3,
2,notarial,2019-3,
3,autoridad judicial,2019-3,
1,sam,2019-4,7938
2,notarial,2019-4,513
3,autoridad judicial,2019-4,1
1,sam,2019-5,6627
2,notarial,2019-5,255
3,autoridad judicial,2019-5,6
1,sam,2019-6,7522
2,notarial,2019-6,339
3,autoridad judicial,2019-6,4
1,sam,2019-7,6917
2,notarial,2019-7,564
3,autoridad judicial,2019-7,15
1,sam,2019-8,2779
2,notarial,2019-8,89
3,autoridad judicial,2019-8,8
1,sam,2019-9,1722
2,notarial,2019-9,94
3,autoridad judicial,2019-9,2
1,sam,2019-10,2698
2,notarial,2019-10,112
3,autoridad judicial,2019-10,0
1,sam,2019-11,2826
2,notarial,2019-11,89
3,autoridad judicial,2019-11,1
1,sam,2019-12,5200
2,notarial,2019-12,226
3,autoridad judicial,2019-12,4
1,sam,2020-1,3349
2,notarial,2020-1,61
3,autoridad judicial,2020-1,0
1,sam,2020-2,2327
2,notarial,2020-2,165
3,autoridad judicial,2020-2,0
1,sam,2020-3,1616
2,notarial,2020-3,49
3,autoridad judicial,2020-3,0
1,sam,2020-4,50
2,notarial,2020-4,0
3,autoridad judicial,2020-4,0
1,sam,2020-5,66
2,notarial,2020-5,4
3,autoridad judicial,2020-5,0
1,sam,2020-6,419
2,notarial,2020-6,15
3,autoridad judicial,2020-6,0
1,sam,2020-7,896
2,notarial,2020-7,31
3,autoridad judicial,2020-7,1
1,sam,2020-8,1229
2,notarial,2020-8,39
3,autoridad judicial,2020-8,0
1,sam,2020-9,706
2,notarial,2020-9,45
3,autoridad judicial,2020-9,0
1,sam,2020-10,625
2,notarial,2020-10,17
3,autoridad judicial,2020-10,0
1,sam,2020-11,1035
2,notarial,2020-11,25
3,autoridad judicial,2020-11,0
1,sam,2020-12,1310
2,notarial,2020-12,122
3,autoridad judicial,2020-12,0
1,sam,2021-1,1014
2,notarial,2021-1,23
3,autoridad judicial,2021-1,0
1,sam,2021-2,563
2,notarial,2021-2,39
3,autoridad judicial,2021-2,0
1,sam,2021-3,1203
2,notarial,2021-3,14
3,autoridad judicial,2021-3,0
1,sam,2021-4,1353
2,notarial,2021-4,76
3,autoridad judicial,2021-4,0
1,sam,2021-5,1971
2,notarial,2021-5,30
3,autoridad judicial,2021-5,0
1,sam,2021-6,4369
2,notarial,2021-6,95
3,autoridad judicial,2021-6,0
1,sam,2021-7,5366
2,notarial,2021-7,82
3,autoridad judicial,2021-7,1
1,sam,2021-8,4608
2,notarial,2021-8,81
3,autoridad judicial,2021-8,5
1,sam,2021-9,2682
2,notarial,2021-9,103
3,autoridad judicial,2021-9,0
1,sam,2021-10,2359
2,notarial,2021-10,43
3,autoridad judicial,2021-10,1
1,sam,2021-11,2229
2,notarial,2021-11,31
3,autoridad judicial,2021-11,1
1,sam,2021-12,2599
2,notarial,2021-12,28
3,autoridad judicial,2021-12,0
1,sam,2022-1,2321
2,notarial,2022-1,43
3,autoridad judicial,2022-1,0
1,sam,2022-2,760
2,notarial,2022-2,44
3,autoridad judicial,2022-2,1
1,sam,2022-3,3407
2,notarial,2022-3,78
3,autoridad judicial,2022-3,0
1,sam,2022-4,3241
2,notarial,2022-4,104
3,autoridad judicial,2022-4,0
1,sam,2022-5,2656
